logical_path	kind	bytes	mtime_epoch	preservation
$TMP/OpenRamble-analyze	directory	474144768	1786459186	metadata-or-selected-evidence
$TMP/OpenRamble-ux	directory	109375488	1786459212	metadata-or-selected-evidence
$TMP/nemo-speech-source-only-audit-9bc876635af3.md	file	27429	1786731870	metadata-or-selected-evidence
$TMP/nemotron35-stage1.UhkPS6	directory	741720064	1786734092	metadata-or-selected-evidence
$TMP/openramble-3s-vocab-off.txt	file	2206	1786682523	metadata-or-selected-evidence
$TMP/openramble-3s-vocab-on.txt	file	2244	1786682521	metadata-or-selected-evidence
$TMP/openramble-added-lines.yBq9Dh	file	854753	1786706427	metadata-or-selected-evidence
$TMP/openramble-agent-default	file	0	1786652922	metadata-or-selected-evidence
$TMP/openramble-agent-default-state	file	7	1786652922	metadata-or-selected-evidence
$TMP/openramble-app-full-after-hotkey.log	file	106208	1786709145	metadata-or-selected-evidence
$TMP/openramble-app-full-current.log	file	105007	1786704028	metadata-or-selected-evidence
$TMP/openramble-app-readiness-green.log	file	51756	1786703252	metadata-or-selected-evidence
$TMP/openramble-app-tsan-final.log	file	399978	1786704134	metadata-or-selected-evidence
$TMP/openramble-app.sample	file	286297	1786653033	metadata-or-selected-evidence
$TMP/openramble-appstate-final-review.log	file	31254	1786705390	metadata-or-selected-evidence
$TMP/openramble-architecture-review-20260814.md	file	5506	1786694009	metadata-or-selected-evidence
$TMP/openramble-asr-bench-ctc-typed-unfiltered	file	9440728	1786720784	metadata-or-selected-evidence
$TMP/openramble-asr-bench-pre-ctc-typed	file	9438264	1786720022	metadata-or-selected-evidence
$TMP/openramble-asr-candidate-audit-f2b6ee9a	directory	86499328	1786742512	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-10000-final.json	file	3689	1786698475	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-10000.json	file	20319	1786697963	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-final-2.json	file	3574	1786698094	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-final-secure.json	file	3578	1786698189	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-final.json	file	3679	1786698465	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-invalid.json	file	190	1786698074	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-release-candidate.json	file	3696	1786699075	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-repeat-1.json	file	3453	1786697724	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-repeat-2.json	file	3457	1786697745	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-repeat-3.json	file	3458	1786697749	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-tsan-final.json	file	3690	1786698449	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak-tsan.json	file	3592	1786697944	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak.json	file	3457	1786697645	metadata-or-selected-evidence
$TMP/openramble-asr-worker-soak.lock	file	0	1786697635	metadata-or-selected-evidence
$TMP/openramble-bench.XfRRRf	directory	1073152	1786684938	metadata-or-selected-evidence
$TMP/openramble-benchmark-skill.env	file	116	1786651972	metadata-or-selected-evidence
$TMP/openramble-benchmark-v2-smoke.json	file	3449	1786685897	metadata-or-selected-evidence
$TMP/openramble-benchmark-v3-resume-smoke.json	file	32242	1786698167	metadata-or-selected-evidence
$TMP/openramble-benchmark-v3-smoke.json	file	31973	1786698005	metadata-or-selected-evidence
$TMP/openramble-benchmark-v3-smoke.json.logs	directory	4096	1786698004	metadata-or-selected-evidence
$TMP/openramble-boost.tu2L7E	directory	954368	1786827611	metadata-or-selected-evidence
$TMP/openramble-cache-baseline-hashes.tsv	file	1251	1786715533	metadata-or-selected-evidence
$TMP/openramble-cache-baseline-summary.tsv	file	337	1786715525	metadata-or-selected-evidence
$TMP/openramble-cache-optimized-hashes.tsv	file	1251	1786715533	metadata-or-selected-evidence
$TMP/openramble-cache-optimized-summary.tsv	file	336	1786715525	metadata-or-selected-evidence
$TMP/openramble-cache-reset-optimized-m4-20260814.json	file	729501	1786715497	metadata-or-selected-evidence
$TMP/openramble-cache-reset-term-m4-20260814.json	file	80894	1786715568	metadata-or-selected-evidence
$TMP/openramble-candidate-first-bounded-parity-test.log	file	3216	1786690772	metadata-or-selected-evidence
$TMP/openramble-candidate-first-final-binary	directory	8904704	1786690982	metadata-or-selected-evidence
$TMP/openramble-candidate-first-focused-tests.log	file	19054	1786690353	metadata-or-selected-evidence
$TMP/openramble-candidate-first-full-tests-final.log	file	103991	1786690851	metadata-or-selected-evidence
$TMP/openramble-candidate-first-full-tests.log	file	104228	1786690431	metadata-or-selected-evidence
$TMP/openramble-candidate-first-product-ab	directory	339968	1786690645	metadata-or-selected-evidence
$TMP/openramble-candidate-first-product-ab-final	directory	339968	1786691076	metadata-or-selected-evidence
$TMP/openramble-candidate-first-product-ab.py	file	5861	1786690988	metadata-or-selected-evidence
$TMP/openramble-canonical-endpoint-v1.QLyMSY	directory	1318912	1786741218	curated-content+metadata
$TMP/openramble-capture-fixed-fd-probe	file	1480784	1786687492	metadata-or-selected-evidence
$TMP/openramble-capture-leak-probe	file	1439328	1786686958	metadata-or-selected-evidence
$TMP/openramble-capture-recovery-probe	file	1438352	1786687031	metadata-or-selected-evidence
$TMP/openramble-cargo	directory	83070976	1786630170	metadata-or-selected-evidence
$TMP/openramble-cargo-home	directory	766140416	1786699432	metadata-or-selected-evidence
$TMP/openramble-claude-skill-state	file	28	1786628666	metadata-or-selected-evidence
$TMP/openramble-cmake	directory	143413248	1786628889	metadata-or-selected-evidence
$TMP/openramble-converter-probe	file	1443896	1786687086	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-stdout.jsonl	file	0	1786713180	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v2-toc.xml	file	25658	1786713387	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v2.trace	directory	29978624	1786713371	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v3-stdout.jsonl	file	9946	1786713425	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v3-toc.xml	file	25492	1786713419	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v3.trace	directory	25321472	1786713410	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v4-coreml.xml	file	1738	1786713588	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v4-signposts.xml	file	1652924	1786713600	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v4-toc.xml	file	29849	1786713580	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v4.trace	directory	32604160	1786713540	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v5.trace	directory	82124800	1786713723	metadata-or-selected-evidence
$TMP/openramble-coreml-phase-v6.trace	directory	125755392	1786713916	metadata-or-selected-evidence
$TMP/openramble-coreml-phase.trace	directory	114851840	1786713346	metadata-or-selected-evidence
$TMP/openramble-coreml-trace-wrapper	file	33696	1786713634	metadata-or-selected-evidence
$TMP/openramble-coreml.PafnjW	directory	53248	1786682437	metadata-or-selected-evidence
$TMP/openramble-coreml.Yq3uPF	directory	0	1786682477	metadata-or-selected-evidence
$TMP/openramble-ctc-ab.szfle5	directory	104009728	1786664874	metadata-or-selected-evidence
$TMP/openramble-ctc-current-tree-ab-m4-20260814.json	file	223195	1786720216	metadata-or-selected-evidence
$TMP/openramble-ctc-direct-only	directory	702103552	1786719199	metadata-or-selected-evidence
$TMP/openramble-ctc-direct-only-ab-m4-20260814.json	file	223126	1786719336	metadata-or-selected-evidence
$TMP/openramble-ctc-direct-only-full-tests.log	file	804433	1786719765	metadata-or-selected-evidence
$TMP/openramble-ctc-direct-only-two-window-ab-m4-20260814.json	file	130312	1786719418	metadata-or-selected-evidence
$TMP/openramble-ctc-evaluation-profile.json	file	42061	1786720598	metadata-or-selected-evidence
$TMP/openramble-ctc-final-combined-ab-m4-20260814.json	file	222798	1786721392	metadata-or-selected-evidence
$TMP/openramble-ctc-fusion-profile.json	file	79149	1786720498	metadata-or-selected-evidence
$TMP/openramble-ctc-term-filter-ab-m4-20260814.json	file	222816	1786721215	metadata-or-selected-evidence
$TMP/openramble-ctc-term-filter-no-candidate-ab-m4-20260814.json	file	127797	1786721623	metadata-or-selected-evidence
$TMP/openramble-ctc-term-filter-no-candidate-final-m4-20260814.json	file	127792	1786721689	metadata-or-selected-evidence
$TMP/openramble-derived-overlay-installer-f2b6e8cc	directory	727195648	1786727703	metadata-or-selected-evidence
